# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		5447		2394		661
1		4989		4787		665
2		4680		7181		820
3		4555		9574		816
4		4487		11967		906
5		4447		14359		893
6		4419		16753		958
7		4383		19144		924
8		4330		21535		991
9		4290		23926		942
10		4265		26320		1028
11		4230		28713		966
12		4204		31107		1018
13		4166		33497		983
14		4115		35891		1066
15		4021		38280		1031
16		3905		40670		1072
17		3841		43057		1042
18		3788		45451		1120
19		3784		47842		1070
20		3724		50235		1124
21		3742		52628		1101
22		3727		55017		1147
23		3699		57410		1094
24		3667		59804		1157
25		3657		62196		1106
26		3648		64586		1168
27		3666		66981		1114
28		3615		69373		1175
29		3635		71767		1124
30		3597		74162		1186
31		3587		76555		1174
32		3554		78947		1195
33		3573		81338		1148
34		3541		83732		1188
35		3538		86124		1159
36		3502		88516		1223
37		3513		90908		1175
38		3499		93301		1214
39		3487		95694		1188
40		3473		98087		1220
41		3478		100481		1193
42		3471		102876		1238
43		3455		105265		1214
44		3450		107658		1235
45		3431		110053		1213
46		3437		112446		1262
47		3451		114838		1238
48		3440		117229		1259
49		3430		119622		1221
50		3414		122017		1258
51		3414		124412		1244
52		3381		126805		1262
53		3391		129199		1230
54		3370		131594		1284
55		3382		133989		1233
56		3351		136383		1279
57		3358		138775		1239
58		3328		141169		1281
59		3336		143564		1257
60		3310		145958		1297
61		3324		148351		1269
62		3304		150745		1302
63		3314		153139		1262
64		3304		155532		1300
65		3289		157926		1287
66		3276		160316		1319
67		3263		162708		1281
68		3277		165102		1320
69		3271		167492		1286
70		3256		169886		1328
71		3253		172278		1285
72		3251		174671		1312
73		3243		177065		1291
74		3222		179458		1332
75		3216		181848		1307
76		3208		184243		1338
77		3194		186637		1320
78		3183		189030		1341
79		3189		191419		1332
80		3170		193813		1350
81		3168		196207		1339
82		3163		198600		1351
83		3158		200993		1319
84		3166		203387		1379
85		3155		205781		1353
86		3137		208174		1364
87		3136		210568		1331
88		3122		212960		1368
89		3126		215352		1334
90		3120		217746		1367
91		3128		220138		1342
92		3125		222531		1371
93		3112		224923		1350
94		3099		227317		1375
95		3113		229710		1351
96		3096		232103		1384
97		3080		234495		1352
98		3089		236888		1365
99		3087		239282		1357
100		3100		241676		1356
101		3084		244070		1353
102		3059		246463		1374
103		3059		248857		1359
104		3049		251251		1389
105		3060		253642		1371
106		3034		256035		1388
107		3036		258425		1367
108		3035		260819		1391
109		3051		263209		1351
110		3047		265601		1392
111		3047		267993		1372
112		3050		270387		1397
113		3044		272782		1376
114		3049		275177		1416
115		3045		277567		1384
116		3038		279961		1405
117		3028		282356		1391
118		3033		284747		1410
119		3034		287141		1399
120		3020		289535		1417
121		3034		291928		1394
122		3024		294322		1406
123		3034		296714		1408
124		3028		299106		1418
125		3010		301500		1405
126		3019		303894		1439
127		3015		306288		1418
128		3001		308681		1450
129		3008		311074		1409
130		2989		313466		1429
131		2999		315861		1418
132		3001		318256		1451
133		2995		320648		1436
134		2983		323043		1454
135		2972		325434		1451
136		2975		327828		1461
137		2974		330219		1440
138		2982		332612		1460
139		2962		335005		1433
140		2961		337399		1465
141		2960		339790		1448
142		2960		342183		1473
143		2953		344577		1452
144		2957		346970		1486
145		2952		349363		1458
146		2957		351755		1476
147		2943		354147		1449
148		2940		356537		1474
149		2933		358927		1450
150		2913		361321		1474
151		2928		363715		1455
152		2932		366110		1478
153		2924		368503		1456
154		2923		370897		1474
155		2910		373291		1468
156		2911		375686		1480
157		2919		378079		1478
158		2912		380471		1498
159		2923		382864		1474
160		2918		385257		1487
161		2907		387650		1474
162		2913		390040		1483
163		2907		392432		1472
164		2910		394827		1498
165		2903		397220		1477
166		2903		399614		1502
167		2890		402008		1471
168		2905		404399		1499
169		2896		406792		1483
170		2899		409187		1498
171		2891		411577		1478
172		2883		413970		1494
173		2888		416365		1483
174		2895		418759		1501
175		2882		421151		1477
176		2891		423542		1498
177		2881		425935		1478
178		2873		428328		1483
179		2865		430722		1484
180		2866		433116		1515
181		2869		435510		1478
182		2871		437905		1503
183		2878		440298		1492
184		2871		442690		1498
185		2871		445084		1486
186		2874		447478		1501
187		2870		449872		1483
188		2873		452267		1500
189		2867		454660		1490
190		2863		457055		1506
191		2840		459449		1503
192		2850		461840		1518
193		2846		464232		1492
194		2832		466626		1515
195		2838		469021		1489
196		2828		471414		1508
197		2821		473809		1489
198		2829		476202		1513
199		2815		478595		1498
200		2816		480989		1521
201		2810		483382		1490
202		2828		485774		1516
203		2812		488167		1494
204		2812		490559		1530
205		2807		492952		1500
206		2815		495345		1508
207		2801		497739		1515
208		2810		500134		1527
209		2801		502529		1517
210		2809		504920		1529
211		2811		507313		1507
212		2808		509707		1530
213		2795		512102		1515
214		2795		514497		1541
215		2798		516891		1517
216		2795		519286		1521
217		2781		521677		1513
218		2783		524070		1542
219		2770		526462		1529
220		2777		528856		1544
221		2765		531249		1526
222		2774		533644		1538
223		2762		536039		1521
224		2766		538434		1534
225		2747		540828		1516
226		2752		543221		1548
227		2749		545616		1533
228		2747		548010		1554
229		2730		550404		1530
230		2736		552798		1537
231		2729		555192		1527
232		2748		557586		1541
233		2750		559981		1532
234		2747		562373		1545
235		2744		564766		1525
236		2758		567161		1541
237		2743		569555		1521
238		2750		571948		1555
239		2748		574341		1537
240		2762		576736		1551
241		2737		579131		1544
242		2743		581526		1544
243		2731		583920		1531
244		2720		586315		1548
245		2712		588709		1531
246		2734		591104		1546
247		2722		593499		1538
248		2717		595893		1548
249		2710		598287		1529
250		2711		600682		1545
