# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		8904		4719		3001
1		8313		9439		3014
2		7823		14159		3106
3		7414		18879		3078
4		7163		23599		3121
5		6906		28319		3175
6		6735		33038		3164
7		6550		37757		3149
8		6466		42477		3219
9		6292		47197		3212
10		6123		51916		3222
11		6036		56633		3224
12		5958		61351		3217
13		5834		66068		3216
14		5705		70782		3203
15		5657		75497		3247
16		5488		80216		3253
17		5360		84933		3246
18		5306		89653		3222
19		5202		94369		3220
20		5098		99087		3234
21		5031		103802		3230
22		5035		108513		3250
23		5001		113232		3225
24		4962		117947		3231
25		4875		122659		3229
26		4810		127370		3222
27		4754		132083		3212
28		4753		136797		3222
29		4749		141512		3219
30		4709		146223		3236
31		4675		150935		3253
32		4669		155647		3231
33		4622		160359		3235
34		4472		161075		3226
35		4369		161648		3223
36		4266		162173		3228
37		4140		162686		3215
38		4057		163155		3196
39		3963		163611		3216
40		3875		164021		3213
41		3781		164382		3214
42		3743		164715		3197
43		3656		165027		3222
44		3625		165342		3217
45		3580		165669		3219
46		3560		165936		3218
47		3501		166228		3234
48		3455		166471		3223
49		3435		166728		3229
50		3413		166962		3217
51		3371		167224		3219
52		3337		167475		3209
53		3312		167707		3221
54		3299		167916		3233
55		3277		168147		3233
56		3222		168365		3234
57		3148		168566		3241
58		3144		168819		3237
59		3116		169023		3241
60		3085		169209		3242
61		3068		169433		3248
62		3050		169613		3246
63		3022		169797		3243
64		2975		169996		3248
65		2952		170181		3254
66		2923		170359		3257
67		2913		170529		3250
68		2906		170650		3266
69		2859		170816		3262
70		2842		170970		3267
71		2834		171112		3271
72		2825		171275		3272
73		2805		171432		3281
74		2782		171573		3282
75		2785		171723		3265
76		2749		171866		3274
77		2719		172010		3268
78		2727		172155		3270
79		2714		172255		3271
80		2694		172357		3270
81		2688		172461		3272
82		2674		172568		3280
83		2640		172680		3276
84		2625		172767		3283
85		2632		172874		3277
86		2632		172973		3282
87		2611		173099		3284
88		2597		173224		3294
89		2573		173321		3299
90		2578		173410		3294
91		2577		173504		3283
92		2572		173629		3292
93		2568		173763		3301
94		2552		173857		3299
95		2532		173953		3303
96		2524		174054		3302
97		2500		174145		3303
98		2490		174209		3305
99		2490		174275		3301
100		2485		174339		3298
101		2495		174430		3296
102		2487		174510		3305
103		2474		174598		3299
104		2449		174676		3306
105		2453		174751		3303
106		2430		174837		3312
107		2427		174926		3318
108		2411		174997		3316
109		2405		175097		3312
110		2399		175191		3306
111		2393		175293		3311
112		2386		175391		3316
113		2371		175455		3313
114		2375		175532		3314
115		2357		175585		3313
116		2336		175651		3321
117		2328		175699		3314
118		2329		175760		3311
119		2325		175815		3308
120		2301		175871		3315
121		2300		175903		3316
122		2293		175941		3318
123		2288		175979		3321
124		2293		176014		3327
125		2282		176068		3318
126		2270		176101		3319
127		2266		176133		3316
128		2256		176163		3318
129		2249		176184		3321
130		2248		176215		3321
131		2240		176239		3320
132		2241		176257		3322
133		2239		176286		3325
134		2242		176307		3322
135		2242		176331		3323
136		2236		176352		3330
137		2234		176377		3325
138		2233		176400		3326
139		2227		176416		3326
140		2227		176433		3322
141		2224		176451		3326
142		2221		176465		3323
143		2222		176491		3320
144		2224		176513		3323
145		2220		176531		3322
146		2218		176552		3321
147		2214		176582		3322
148		2219		176609		3323
149		2215		176632		3322
150		2214		176662		3322
151		2218		176685		3324
152		2220		176703		3327
153		2215		176722		3324
154		2211		176738		3325
155		2203		176756		3321
156		2201		176770		3320
157		2199		176781		3319
158		2202		176792		3316
159		2202		176809		3321
160		2198		176834		3322
161		2193		176852		3324
162		2193		176862		3323
163		2191		176873		3327
164		2194		176882		3328
165		2196		176893		3325
166		2190		176908		3327
167		2191		176920		3329
168		2193		176923		3327
169		2193		176931		3330
170		2195		176937		3330
171		2195		176947		3330
172		2196		176954		3329
173		2196		176963		3331
174		2194		176971		3328
175		2197		176986		3326
176		2199		176997		3327
177		2204		177021		3334
178		2194		177043		3330
179		2196		177057		3330
180		2195		177079		3331
181		2189		177097		3331
182		2186		177110		3333
183		2186		177120		3331
184		2187		177130		3332
185		2182		177141		3329
186		2183		177150		3328
187		2180		177154		3330
188		2179		177158		3330
189		2178		177162		3329
190		2178		177165		3330
191		2177		177170		3330
192		2175		177175		3332
193		2177		177180		3333
194		2178		177192		3334
195		2177		177195		3333
196		2186		177216		3332
197		2186		177230		3330
198		2187		177240		3328
199		2190		177252		3332
200		2191		177261		3330
201		2188		177279		3329
202		2189		177296		3329
203		2185		177304		3328
204		2182		177311		3329
205		2179		177317		3331
206		2179		177321		3328
207		2180		177328		3327
208		2178		177330		3328
209		2177		177337		3326
210		2177		177350		3327
211		2179		177354		3326
212		2181		177358		3325
213		2175		177365		3326
214		2174		177369		3324
215		2173		177374		3325
216		2174		177378		3325
217		2174		177382		3326
218		2174		177387		3326
219		2174		177395		3325
220		2175		177402		3323
221		2176		177406		3324
222		2173		177411		3324
223		2175		177414		3322
224		2177		177417		3320
225		2176		177421		3323
226		2171		177428		3325
227		2171		177428		3325
228		2171		177430		3325
229		2171		177430		3325
230		2171		177432		3325
231		2169		177434		3323
232		2169		177436		3323
233		2169		177438		3323
234		2170		177441		3323
235		2170		177441		3323
236		2170		177443		3324
237		2170		177445		3324
238		2169		177446		3323
239		2169		177448		3323
240		2169		177450		3323
241		2172		177454		3324
242		2172		177457		3324
243		2172		177460		3325
244		2170		177465		3324
245		2170		177467		3324
246		2170		177467		3324
247		2170		177468		3324
248		2172		177469		3325
249		2169		177471		3324
